asset,category,observations,period_return_pct,listing_change_pct,listing_first,listing_last,price_first,price_last,realized_vol_daily_pct,observed_range_pct,price_transitions,listing_transitions,listing_activity_pct,price_activity_pct,sales_transitions,sales_24h_first,sales_24h_last,sales_24h_max,spearman_qty_minprice_6h,spearman_qty_medprice_6h,median_price_pct_change
Fracture Case,cases,2015,-2.083333333333337,1.2830319888734354,28760,29129,0.48,0.47,66.26923787621914,147.61904761904765,69,215,10.680576254346747,3.427719821162444,7,256,51,256,-0.3214175875196628,0.049481579866076486,-2.500000000000002
Glock-18 | Candy Apple (Factory New),weapons,2015,-5.327868852459017,-1.7743979721166032,789,775,2.44,2.31,20.771482029688347,31.891891891891884,67,114,5.663189269746646,3.3283656234475907,7,13,7,18,-0.4304940931532849,-0.12196994839802235,-5.121951219512184
Glock-18 | Sand Dune (Field-Tested),weapons,2015,67.18061674008811,-25.0,4,3,9.08,15.18,24.1434522973855,87.63796909492274,6,1,0.04967709885742673,0.29806259314456035,2,0,0,1,-0.45169481826062463,-0.45169481826062463,-2.6528258362168446
Glove Case,cases,2015,-2.41411327762302,2.356941838649156,8528,8729,10.77,10.51,16.08693958213013,20.641711229946523,82,163,8.097367113760557,4.0735221063089915,7,20,30,132,-0.3999180482527109,-0.6121973912111042,-4.3260473588342405
Huntsman Weapon Case,cases,2015,-5.242966751918166,0.6464124111182935,1547,1557,7.82,7.41,6.516934755054769,11.864406779661016,21,29,1.4406358668653751,1.0432190760059612,6,0,4,8,-0.24493722922275513,-0.22380000673484268,-1.3524936601859692
Kilowatt Case,cases,2015,0.0,-6.326513140998202,11681,10942,0.2,0.2,65.34545502479226,75.0,35,71,3.5270740188772978,1.7386984600099353,7,103,14,192,-0.2578709011876055,-0.11953143485156224,1.9230769230769247
M4A1-S | Black Lotus (Field-Tested),weapons,2015,-4.218362282878418,-1.1782032400589102,1358,1342,4.03,3.86,28.47159039274341,28.658536585365855,139,260,12.91604570293095,6.905116741182315,7,20,21,35,-0.3202527246840137,-0.054309420669830355,-0.9345794392523303
M4A1-S | Blue Phosphor (Factory New),weapons,2015,-1.3025761683119308,-3.260869565217391,92,89,586.53,578.89,4.095348797932609,8.524650141772618,32,53,2.6328862394436165,1.5896671634376554,6,4,5,6,-0.3875731910638457,-0.8119980955247481,-1.292469198163967
M4A1-S | Decimator (Battle-Scarred),weapons,2015,7.565470417070808,-3.896103896103896,77,74,10.31,11.09,16.47568546696529,39.2156862745098,14,7,0.34773969200198707,0.6954793840039741,2,0,0,1,-0.6266543369586101,-0.5651294914407923,-0.5537974683544326
M4A1-S | Decimator (Field-Tested),weapons,2015,0.4321521175453702,-1.7985611510791366,278,273,11.57,11.62,9.94634579294396,22.077922077922086,43,67,3.3283656234475907,2.136115250869349,6,3,8,14,-0.31154906727330967,-0.4896505654203712,-0.8141112618724626
M4A1-S | Hot Rod (Factory New),weapons,2015,-0.1359129613395571,-3.5714285714285716,28,27,1471.53,1469.53,5.554111792514026,14.385633128456828,18,7,0.34773969200198707,0.8941877794336811,3,0,1,1,-0.5072788748594291,-0.7089016502486057,-0.5255609487192663
M4A4 | Neo-Noir (Field-Tested),weapons,2015,-0.8810572687224738,-3.515625,256,247,31.78,31.5,4.349724291915864,9.389671361502337,29,42,2.0864381520119224,1.4406358668653751,6,3,2,4,-0.21962415551425177,-0.5553349758753657,-0.7161613750298332
Operation Bravo Case,cases,2015,-10.939667128987518,3.3536585365853657,328,339,57.68,51.37,2.7583849221706846,12.28343391084291,15,17,0.8445106805762543,0.7451564828614009,3,0,1,2,-0.11561586634162105,-0.12474843681679369,-1.296946771142926
Operation Breakout Weapon Case,cases,2015,-1.8421052631578894,3.1264750798278493,36015,37141,7.6,7.46,14.230702186228484,18.449612403100765,108,253,12.568306010928962,5.365126676602086,7,45,111,274,-0.22443716543246797,-0.29943120943681006,-1.6983016983016976
Operation Broken Fang Case,cases,2015,4.444444444444429,-2.9614009351792427,10907,10584,5.4,5.64,9.16343894973795,16.598360655737718,30,80,3.974167908594138,1.4903129657228018,7,74,49,183,-0.5222316061621114,-0.46839257548627217,0.32894736842106514
Operation Hydra Case,cases,2015,-6.052801030263999,11.267605633802816,355,395,31.06,29.18,4.108649993424114,11.233951497860208,16,26,1.291604570293095,0.7948335817188277,5,1,2,2,-0.24055053146733713,-0.7188932561732252,-5.141632944537007
Operation Riptide Case,cases,2015,-16.031390134529143,2.109394162374295,4077,4163,8.92,7.49,8.644497869245047,19.092122830440584,24,38,1.8877297565822155,1.1922503725782414,7,1,1,21,-0.33573435547698244,0.12521860082019304,-1.4274981217130074
